ID,WordName,VocabularyItem,TurkishDefinition,Synonym,ExampleSentence1,Translation1,GrupNo,Antonym,PartofSpeech,Favorite
1009,NURTURE (v),NURTURE (v),"Beslemek, yetiştirmek, büyütmek","Feed, bring up, care for, provide for",Amazon nurtures thousands of animal and plant species.,Amazon binlerce hayvan ve bitki türünü besler.,51,-,-,0
1010,PROPORTION (n),PROPORTION (n),"Oran, bölüm, miktar, yüzde","Amount, quantity, part, ratio, percentage",Fossil poaching has reached huge proportions in the Gobi in recent decades.,Son yıllarda Gobi'de fosil kaçakçılığı devasa oranlara ulaştı.,51,-,-,0
1011,RELIC (n),RELIC (n),"Eski eser, kalıntı","Historical object, remnant",The researchers believe that the castle found is an Iron Age relic of the lost Urartu civilisation.,"Araştırmacılar, bulunan kalenin, kayıp Urartu uygarlığına ait Demir Çağı kalıntısı olduğuna inanıyorlar.",51,-,-,0
1012,SCATTER (v),SCATTER (v),"Yaymak, saçmak, dağıtmak","Disperse, spread out, throw",The 1986 accident at the Chernobyl nuclear power plant in Ukraine scattered radioactive contamination over a large part of Europe.,"Ukrayna'daki Çernobil nükleer santralindeki 1986 kazası, Avrupa'nın büyük bir bölümüne radyoaktif kirlilik yaydı.",51,-,-,0
1013,SEWAGE (n),SEWAGE (n),"Atık su, kanalizasyon",Human and domestic waste matter from buildings,"Biodegradable pollutants are materials, such as sewage, that rapidly decompose by natural processes.","Kanalizasyon gibi, biyolojik olarak parçalanabilen kirleticiler doğal süreçlerle hızla ayrışan malzemelerdir.",51,-,-,0
1014,STRIVE (v),STRIVE (v),"Uğraşmak, çabalamak, çalışmak","Try, attempt, endeavour, make every effort",China has been striving to increase the use of clean fuel instead of coal.,"Çin, kömürün yerine temiz yakıt kullanımını artırmaya çabalamaktadır.",51,-,-,0
1015,SUBJECT TO (v),SUBJECT TO (v),"Tabi olmak, bağlı olmak, maruz bırakmak","Dependent on, expose to",Monsoon rains subjects the region to floods.,Muson yağmurları bölgeyi sellere maruz bırakır.,51,-,-,0
1016,SUPERSEDE (v),SUPERSEDE (v),"Yerini almak, yerine geçmek","Replace, take over",Digital computers have superseded humans in many fields.,Dijital bilgisayarlar birçok alanda insanların yerini aldı.,51,-,-,0
1017,TRACE (v),TRACE (v),"Keşfetmek, izini sürmek","Track, follow, discover",Scientists can trace their common ancestral genetic connections.,Bilim insanları ortak atalarının genetik bağlantılarının izini sürebilir.,51,-,-,0
1018,UPHOLD (v),UPHOLD (v),"Savunmak, desteklemek","Support, defend, advocate",Darwinism upholds the view that every organism always strives to reproduce.,"Darvinizm, her organizmanın daima çoğalmaya çalıştığı görüşünü savunur.",51,-,-,0
1019,VERTEBRATE (adj/n),VERTEBRATE (adj/n),"Omurgalı hayvan, omurgalı",Animal with a backbone,Vertebrate skeletons must be both rigid and strong.,Omurgalı iskeletleri hem sert hem de sağlam olmalıdır.,51,-,-,0
1020,WARY (adj),WARY (adj),"İhtiyatlı, tedbirli, dikkatli","Watchful, cautious, careful, vigilant",Researchers are trying to be wary of the animals due to contagious diseases.,Araştırmacılar bulaşıcı hastalıklardan dolayı hayvanlara karşı dikkatli olmaya çalışıyorlar.,51,-,-,0
1021,ACCLIMATIZATION (n),ACCLIMATIZATION (n),"Ortama alışma, uyum sağlama","Adaptation, becoming accustomed, adjustment","Before Himalayan expedition, trekkers have to spend at least one day in the region for acclimatization and orientation.","Himalaya seferi öncesinde yürüyüşçüler, uyum sağlama ve oryantasyon için bölgede en az bir gün geçirmek zorundadır.",52,-,-,0
1022,ADVENT (n),ADVENT (n),"Ortaya çıkış, geliş","Dawn, initiation, introduction","With the advent of relativity theory, the physicist Max Born was the first to develop a relativistic theory of the rigid electron.","İzafiyet teorisinin ortaya çıkışı ile birlikte, fizikçi Max Born katı elektronun göreceli bir teorisini geliştiren ilk kişi oldu.",52,-,-,0
1023,ARCTIC (adj),ARCTIC (adj),"Buz gibi, çok soğuk","Freezing, cold, icy, frosty","Due to the arctic weather conditions, the study camp had to be cancelled.",Çok soğuk hava koşullarından dolayı inceleme kampı iptal edildi.,52,-,-,0
1024,CALL OFF (phr v),CALL OFF (phr v),"İptal etmek, durdurmak","Cancel, stop, suspend",NASA's last Space mission was called off because of financial problems.,NASA'nın son uzay görevi maddi sorunlar yüzünden iptal edildi.,52,-,-,0
1025,CIRCUIT (n),CIRCUIT (n),Elektrik devresi,Route for electricity,"In every circuit, voltage, current and resistance are exactly proportional.","Her elektrik devresinde, gerilim, akım ve direnç tam olarak orantılıdır.",52,-,-,0
1026,COMMONPLACE (adj),COMMONPLACE (adj),"Sıradan, alelade, basit","Ordinary, usual",Using a computer is becoming more commonplace in the world.,Bilgisayar kullanımı dünyada daha sıradan hale geliyor.,52,-,-,0
1027,COMPRESSED (adj),COMPRESSED (adj),"Sıkıştırılmış, basınçlı","Squeezed, pressed",Researchers have developed a motorcycle that runs on compressed air.,"Araştırmacılar, sıkıştırılmış hava ile giden bir motosiklet geliştirdiler.",52,-,-,0
1028,CONVECTION (n),CONVECTION (n),Isıyayım,Heat transfer,"As Earth cooled after its formation, mantle convection may have slowed.","Dünya, oluşumundan sonra soğurken, çekirdek kabuğu ısıyayımı yavaşlamış olabilir.",52,-,-,0
1029,COPIOUS (adj),COPIOUS (adj),"Bol miktarda, çok","Abundant, plentiful, ample","These trees produce copious pollen, which travels up to 16 kilometres.",Bu ağaçlar 16 kilometreye kadar dolaşan bol miktarda polen üretir.,52,-,-,0
1030,DAMP (adj),DAMP (adj),"Nemli, rutubetli","Moist, humid, dank","Air mass can be damp or dry, depending on where it comes from.","Hava kütlesi, nereden geldiğine bağlı olarak nemli veya kuru olabilir.",52,-,-,0
1031,DEPLETION (n),DEPLETION (n),"Tükenme, eksilme","Exhaustion, using up, consumption",Groundwater depletion will affect plant species on the planet.,"Yeraltısuyunun tükenmesi, gezegendeki bitki türlerini etkileyecektir.",52,-,-,0
1032,DESALINATION (v),DESALINATION (v),"Tuzdan arındırma, tuzunu giderme",The process of removing salt from something,Scientists are working on more effective methods for desalination of sea water.,Bilim insanları deniz suyunun tuzdan arındırılması için daha etkin yöntemler üzerinde çalışıyorlar.,52,-,-,0
1033,DEVOID OF (adj),DEVOID OF (adj),"-den yoksun, -den mahrum","Without, lacking",The dry valleys of Antarctica appear to be devoid of life.,Antartika'nın kurak vadileri yaşamdan yoksun gibi görünmektedir.,52,-,-,0
1034,EMBED (v),EMBED (v),"Gömmek, içine yerleştirmek","Implant, set in, insert",An integrated video controler is a chipset embedded on the motherboard.,Entegre video denetleyicisi anakartın üzerine yerleştirilmiş bir çipsettir,52,-,-,0
1035,EXPLOIT (v),EXPLOIT (v),"Faydalanmak, istifade etmek","Make use of, take advantage of, utilize","The method exploits the fact that a large mass, like a star, can bend the path of light from another star.","Yöntem, bir yıldız gibi büyük bir kütlenin başka bir yıldızdan gelen ışık yolunu bükebileceği gerçeğinden istifade ediyor.",52,-,-,0
1036,FLOAT (v),FLOAT (v),"Su yüzünde kalmak, süzülmek","Drift, glide, stay on the water",The main difference in space is the weightlessness causing astronauts to float around.,"Uzaydaki ana fark, astronotların etrafa süzülmesine neden olan ağırlıksızlıktır.",52,-,-,0
1037,SHRINK (v),SHRINK (v),"Küçülmek, büzülmek","Contract, shrivel","While most of the solids expand when heated, they shrink when cooled.","Katıların çoğu ısıtıldığında genişlerken, soğutulduğunda büzülür.",52,-,-,0
1038,UBIQUITOUS (adj),UBIQUITOUS (adj),"Her yerde var olan, yaygın","Omnipresent, present everywhere","Laptops are ubiquitous on university campuses, and are viewed by most students as absolute must-have items.",Dizüstü bilgisayarlar üniversite kampüslerinde her yerde bulunur ve çoğu öğrenci tarafından mutlaka sahip olunması gereken malzemeler olarak görülür.,52,-,-,0
1039,VEIN (n),VEIN (n),Damar,Blood vessel,"The gene therapy is intended as a one-time treatment, and it is simply infused into a vein.",Gen terapisi bir seferlik tedavi olarak düşünülür ve sadece bir damara uygulanır.,52,-,-,0
1040,VICIOUS (adj),VICIOUS (adj),"Şiddetli, güçlü, tehlikeli","Fierce, strong, dangerous, savage",The winds at the highest parts of Tibet can be very vicious seasonally.,Tibet'in en yüksek kesimlerindeki rüzgarlar mevsimsel olarak çok şiddetli olabilir.,52,-,-,0
1041,BE INCLINED TO (v),BE INCLINED TO (v),"Eğilim göstermek, meyili olmak, hazır olmak","Tend to, be predisposed to, prone to",The UN Council is inclined to point more to climate change than ever.,BM Konseyi her zamankinden daha fazla iklim değişikliğine işaret etmeye eğilim gösteriyor.,53,-,-,0
1042,DISREGARD (v),DISREGARD (v),"Önem vermemek, ihmal etmek, gözardı etmek","Ignore, take no notice of, pay no attention to",The 1997 Kyoto Protocol has been largely disregarded by the countries that have signed it.,"1997 Kyoto Protokolü, imzalayan ülkeler tarafından büyük oranda gözardı edildi.",53,-,-,0
1043,ENCOMPASS (v),ENCOMPASS (v),"Kapsamak, çevrelemek","Include, cover, take in, incorporate, involve",This vast ecosystem encompasses about a third of all tropical forests.,"Bu muazzam ekosistem, tüm tropik ormanların yaklaşık üçte birini kapsar.",53,-,-,0
1044,ENDEAVOUR (n/v),ENDEAVOUR (n/v),"Çaba, gayret, çabalamak, uğraşmak","Attempt, effort, try , strive","If the scientific endeavors succeed, people will be living on another planet in the next millennium.","Bilimsel çabalar başarılı olursa, insanlar sonraki binyılda başka bir gezegende yaşıyor olacak.",53,-,-,0
1045,INDUCE (v),INDUCE (v),"Teşvik etmek, ikna etmek","Persuade, encourage, convince",Medications to induce sleep are associated with drawbacks such as grogginess upon awakening.,"Uykuya teşvik etmek için kullanılan ilaçlar, uyanma sırasındaki sersemlik gibi dezavantajlarla ilintilidir.",53,-,-,0
1046,LANDSLIDE (n),LANDSLIDE (n),"Toprak kayması, heyelan","Slump, mudslide",India and Nepal have been hit with landslides that killed dozens of people.,"Hindistanı ve Nepali, düzinelerce insanı ödüren heyelanlar vurdu.",53,-,-,0
1047,LIMESTONE (n),LIMESTONE (n),"Kireç taşı, kalker taşı",Sedimentary rock,Limestone can be formed by the precipitation of calcium carbonate from water.,"Kireç taşı, kalsiyum karbonatın sudan çökelmesiyle oluşabilir.",53,-,-,0
1048,MERCURY (n),MERCURY (n),Civa,Liquid metallic element,Most of our exposure to organic mercury comes from eating oily fish.,Organik civaya maruz kalımın çoğunu yağlı balıkları yiyerek elde etmekteyiz.,53,-,-,0
1049,MULTICELLULAR (n),MULTICELLULAR (n),Çok hücreli,With many cells,Most animals and plants contain trillions of cells and are called multicellular.,"Çoğu hayvan ve bitki, trilyonlarca hücre içerir ve çok hücreli olarak adlandırılır.",53,-,-,0
1050,NOTICEABLE (adj),NOTICEABLE (adj),"Fark edilebilir, göze çarpan, belirgin","Obvious, visible, perceptible, conspicuous, evident",There is a noticeable increase in the volume of liquid water due to ice sheet melting.,Buz tabakasının erimesinden dolayı sıvı su hacminde belirgin bir artış var.,53,-,-,0
1051,PERTAIN (v),PERTAIN (v),ile ilgili olmak,"Be related to, be about",The research pertains to dogs and the inner workings of the canine brain.,"Araştırma, köpekler ve köpek beyninin iç işleyişi ile ilgilidir.",53,-,-,0
1052,POSTERITY (n),POSTERITY (n),"Gelecek nesil, kuşak",Future generations,We should protect all ecosystems on Earth for our posterity.,Gelecek nesillerimiz için Dünyadaki tüm ekosistemleri korumalıyız.,53,-,-,0
1053,PREDATION (n),PREDATION (n),"Yırtıcılık, yenilme",The preying of one animal on others,The most common reason for killing coyotes is to reduce predation of livestock such as sheep and calves.,"Çakalları öldürmenin en yaygın nedeni, koyun ve buzağılar gibi hayvanların yenilmesini azaltmaktır.",53,-,-,0
1054,RECLAMATION (n),RECLAMATION (n),"Arazi ıslahı, tarıma uygun hale getirme",The conversion of unusable land for farming,"Since the late 1980s, reclamation schemes in Egypt have depended on Nile water.","1980'lerin sonundan bu yana, Mısır'daki arazi ıslah planları Nil suyuna bağlımlıdır.",53,-,-,0
1055,RECYCLING (n),RECYCLING (n),Geri dönüşüm,Processing of waste for reuse,Water recycling is reusing wastewater to save both energy and the environment.,Su geri dönüşümü hem enerjiyi hem de çevreyi korumak için atık suyu yeniden kullanmaktır.,53,-,-,0
1056,SIGNIFY (v),SIGNIFY (v),"Anlamına gelmek, belirtmek, ifade etmek","Mean, indicate, show, imply, suggest",A shift in geologic epoch signifies an irreversible change in this planet's history.,"Jeolojik çağda bir değişim, bu gezegenin tarihindeki geri döndürülemez bir değişimi ifade eder.",53,-,-,0
1057,SPECTACULAR (adj),SPECTACULAR (adj),"Muhteşem, çarpıcı, olağanüstü","Stunning, impressive, amazing, fantastic","Over billions of years, life has evolved into a spectacular diversity of forms.","Milyarlarca yılı aşkın sürede, hayat muhteşem bir çeşitlilik formuna dönüşmüştür.",53,-,-,0
1058,STARTLING (adj),STARTLING (adj),"Şaşırtıcı, inanılmaz","Surprising, astonishing, incredible",Research in the field of biology has produced a startling amount of knowledge concerning not only the human species but also countless other forms of life.,"Biyoloji alanında yapılan araştırmalar, yalnızca insan türü ile ilgili değil aynı zamanda sayısız yaşam biçimi ile ilgili de şaşırtıcı miktarda bilgi üretti.",53,-,-,0
1059,SUBSIDENCE (n),SUBSIDENCE (n),"Çökme, göçme","Collapse, caving in",Fracturing of the rock around the mines cause subsidence at the surface.,Madenlerin etrafındaki kayaların kırılması yüzeyde çökmeye neden oluyor.,53,-,-,0
1060,TEDIOUS (adj),TEDIOUS (adj),"Sıkıcı, bıktırıcı, meşakkatli","Boring, dull","In biology, isolating particular enzymes is a tedious process of trial and error.","Biyolojide, belirli enzimleri izole etmek meşakkatli bir deneme yanılma işlemidir.",53,-,-,0
1061,DORMANT (adj),DORMANT (adj),"Uykuda, hareketsiz","Inactive, sleeping",Many plants spend winters in a dormant state just as animals that hibernate.,"Birçok bitki, tıpkı kış uykusuna yatan hayvanlar gibi kışları hareketsiz bir durumda geçirir.",54,-,-,0
1062,EXTINGUISH (v),EXTINGUISH (v),"Söndürmek (ateş), yok etmek, bitirmek, lağvetmek","Put out, do away with, terminate, end, destroy",Liquid nitrogen has also been used to extinguish underground fires.,"Sıvı azot, yer altı yangınlarını söndürmek için de kullanılmaktadır.",54,-,-,0
1063,EXTOL (v),EXTOL (v),"Methetmek, göklere çıkartmak, övmek","Praise, commend, admire",A lot of studies have extolled the health benefits of the Mediterranean diet.,"Bir çok çalışma, Akdeniz diyetinin sağlığa olan faydalarını methediyor.",54,-,-,0
1064,FATIGUE (n),FATIGUE (n),"Yorgunluk, bitkinlik","Exhaustion, tiredness",Working long hours with high concentration in the lab can cause fatigue.,Laboratuvarda yüksek konsantrasyonla uzun saatler çalışmak bitkinliğe neden olabilir.,54,-,-,0
1065,GLACIATION (n),GLACIATION (n),"Buzullaşma, buzlanma",The process of being covered by ice sheets,Global glaciation occurs because of the fact that Earth's continuously changing position with respect to the Sun.,"Küresel buzullaşma, Dünya'nın Güneş'e göre konumunun sürekli değişmesi nedeniyle meydana gelir.",54,-,-,0
